weo_subject_code,geo,estimates_start_after
PCPI,AFG,2014
PCPI,ALB,2013
PCPI,DZA,2014
PCPI,AGO,2014
PCPI,ATG,2014
PCPI,ARG,2013
PCPI,ARM,2014
PCPI,AUS,2013
PCPI,AUT,2014
PCPI,AZE,2013
PCPI,BHS,2013
PCPI,BHR,2014
PCPI,BGD,2014
PCPI,BRB,2014
PCPI,BLR,2014
PCPI,BEL,2014
PCPI,BLZ,2013
PCPI,BEN,2013
PCPI,BTN,2013
PCPI,BOL,2014
PCPI,BIH,2013
PCPI,BWA,2013
PCPI,BRA,2014
PCPI,BRN,2013
PCPI,BGR,2014
PCPI,BFA,2014
PCPI,BDI,2012
PCPI,CPV,2014
PCPI,KHM,2013
PCPI,CMR,2013
PCPI,CAN,2014
PCPI,CAF,2014
PCPI,TCD,2013
PCPI,CHL,2014
PCPI,CHN,2014
PCPI,COL,2014
PCPI,COM,2013
PCPI,COD,2014
PCPI,COG,2013
PCPI,CRI,2013
PCPI,CIV,2014
PCPI,HRV,2014
PCPI,CYP,2014
PCPI,CZE,2014
PCPI,DNK,2014
PCPI,DJI,2014
PCPI,DMA,2013
PCPI,DOM,2014
PCPI,ECU,2014
PCPI,EGY,2014
PCPI,SLV,2013
PCPI,GNQ,2013
PCPI,ERI,2009
PCPI,EST,2013
PCPI,ETH,2014
PCPI,FJI,2013
PCPI,FIN,2014
PCPI,FRA,2014
PCPI,GAB,2014
PCPI,GMB,2013
PCPI,GEO,2014
PCPI,DEU,2014
PCPI,GHA,2013
PCPI,GRC,2014
PCPI,GRD,2013
PCPI,GTM,2013
PCPI,GIN,2014
PCPI,GNB,2011
PCPI,GUY,2012
PCPI,HTI,2013
PCPI,HND,2013
PCPI,HKG,2014
PCPI,HUN,2013
PCPI,ISL,2013
PCPI,IND,2014
PCPI,IDN,2014
PCPI,IRN,2014
PCPI,IRQ,2014
PCPI,IRL,2014
PCPI,ISR,2014
PCPI,ITA,2014
PCPI,JAM,2014
PCPI,JPN,2014
PCPI,JOR,2013
PCPI,KAZ,2013
PCPI,KEN,2014
PCPI,KIR,2014
PCPI,KOR,2014
PCPI,UVK,2013
PCPI,KWT,2014
PCPI,KGZ,2014
PCPI,LAO,2013
PCPI,LVA,2013
PCPI,LBN,2013
PCPI,LSO,2013
PCPI,LBR,2013
PCPI,LBY,2014
PCPI,LTU,2013
PCPI,LUX,2014
PCPI,MKD,2014
PCPI,MDG,2014
PCPI,MWI,2014
PCPI,MYS,2014
PCPI,MDV,2014
PCPI,MLI,2013
PCPI,MLT,2013
PCPI,MHL,2013
PCPI,MRT,2014
PCPI,MUS,2013
PCPI,MEX,2014
PCPI,FSM,2013
PCPI,MDA,2013
PCPI,MNG,2014
PCPI,MNE,2014
PCPI,MAR,2013
PCPI,MOZ,2014
PCPI,MMR,2014
PCPI,NAM,2012
PCPI,NPL,2014
PCPI,NLD,2014
PCPI,NZL,2014
PCPI,NIC,2014
PCPI,NER,2014
PCPI,NGA,2014
PCPI,NOR,2014
PCPI,OMN,2014
PCPI,PAK,2014
PCPI,PLW,2014
PCPI,PAN,2014
PCPI,PNG,2013
PCPI,PRY,2013
PCPI,PER,2014
PCPI,PHL,2014
PCPI,POL,2013
PCPI,PRT,2014
PCPI,QAT,2014
PCPI,ROU,2014
PCPI,RUS,2014
PCPI,RWA,2014
PCPI,WSM,2014
PCPI,SMR,2014
PCPI,STP,2014
PCPI,SAU,2014
PCPI,SEN,2011
PCPI,SRB,2014
PCPI,SYC,2013
PCPI,SLE,2014
PCPI,SGP,2014
PCPI,SVK,2014
PCPI,SVN,2014
PCPI,SLB,2013
PCPI,ZAF,2014
PCPI,SSD,2014
PCPI,ESP,2014
PCPI,LKA,2014
PCPI,KNA,2013
PCPI,LCA,2013
PCPI,VCT,2013
PCPI,SDN,2013
PCPI,SUR,2013
PCPI,SWZ,2014
PCPI,SWE,2014
PCPI,CHE,2014
PCPI,SYR,2011
PCPI,TWN,2014
PCPI,TJK,2013
PCPI,TZA,2013
PCPI,THA,2014
PCPI,TLS,2013
PCPI,TGO,2013
PCPI,TON,2013
PCPI,TTO,2013
PCPI,TUN,2014
PCPI,TUR,2014
PCPI,TKM,2013
PCPI,TUV,2013
PCPI,UGA,2014
PCPI,UKR,2014
PCPI,ARE,2014
PCPI,GBR,2014
PCPI,USA,2014
PCPI,URY,2014
PCPI,UZB,2012
PCPI,VUT,2014
PCPI,VEN,2013
PCPI,VNM,2013
PCPI,YEM,2009
PCPI,ZMB,2013
PCPI,ZWE,2013
